# ID           RA              DEC              zmag_auto     zmag_col      Ks_col        z50              z025             z975             zspec            lmass         density
G015984        28.248386       -14.195427       20.7238       20.7981       17.8750       0.61360000       0.61000000       0.61960000       -1.0000000       10.6587       4.81147
G015992        28.297058       -14.194930       22.3750       22.5032       20.6320       0.62240000       0.61620000       0.62850000       -1.0000000       9.33669       1.37040
G016334        28.208242       -14.193423       21.5341       21.5571       18.4449       0.89470000       0.79350000       0.90960000       -1.0000000       10.8374       10.2649
G016183        28.247498       -14.193848       23.0519       23.0784       19.7428       0.77570000       0.65070000       0.83070000       -1.0000000       9.97286       2.30123
G016252        28.287580       -14.193893       21.6862       21.7255       18.9518       0.63860000       0.49720000       0.66830000       -1.0000000       10.0851       3.42269
G016440        28.186115       -14.194025       20.7043       20.9228       17.7904       0.88930000       0.87210000       0.90540000       -1.0000000       11.0087       4.87473
G016242        28.167071       -14.194349       22.3152       22.3502       18.8248       0.82170000       0.67500000       0.94230000       -1.0000000       10.8204       2.60647
G016428        28.073007       -14.193070       23.1692       23.1404       21.6626       0.73120000       0.71070000       0.74380000       -1.0000000       9.57112       2.79152
G016368        28.137771       -14.193282       21.4060       21.5292       18.6933       0.76410000       0.74780000       0.77500000       -1.0000000       10.4102       7.51481
G016271        28.098861       -14.194451       20.7546       20.9902       17.9153       0.74920000       0.74030000       0.75890000       -1.0000000       10.9321       4.66988
G016609        28.025194       -14.192899       21.8488       22.2110       19.8039       0.76530000       0.75570000       0.77420000       -1.0000000       9.78236       15.9560
G016604        28.119995       -14.192068       21.9605       21.9793       18.6982       0.81820000       0.81040000       0.84500000       -1.0000000       10.6092       26.6299
G016524        28.310396       -14.192066       22.2472       22.6025       20.1571       0.78160000       0.77010000       0.79430000       -1.0000000       9.85813       1.32279
G016559        28.116069       -14.191725       21.9992       22.1363       18.6748       0.81550000       0.79480000       0.83900000       -1.0000000       10.4015       24.9556
G016585        28.040833       -14.192296       21.3614       21.3919       18.6403       0.76600000       0.74650000       0.78380000       -1.0000000       10.4669       47.1243
G016574        28.263892       -14.192263       22.4062       22.4520       19.8061       0.87230000       0.70570000       0.92690000       -1.0000000       10.1771       4.43070
G016592        28.296986       -14.191748       22.4131       22.4183       20.4240       0.84590000       0.83600000       0.85480000       -1.0000000       9.54802       3.25374
G016618        28.253500       -14.191295       23.1131       23.0950       22.0533       0.73960000       0.73510000       0.74490000       -1.0000000       9.04255       2.65353
G016693        28.030642       -14.191842       21.4221       21.4340       18.5430       0.77120000       0.76530000       0.77490000       -1.0000000       10.4029       20.6400
G016667        28.052355       -14.191931       21.5053       21.5254       18.6443       0.77730000       0.76640000       0.78690000       -1.0000000       10.2802       14.6713
G016651        28.109606       -14.195281       22.1998       22.4875       18.7123       0.86610000       0.80490000       0.95460000       -1.0000000       10.6574       4.51555
