# ID    RA         DEC         Z      EL TYPE AUTO_R ERR_AUTO_R AP_R   ERR_AP_R AUTO_I ERR_AUTO_I AP_I   ERR_AP_I AUTO_Z ERR_AUTO_Z AP_Z   ERR_AP_Z AUTO_J ERR_AUTO_J AP_J   ERR_AP_J AUTO_KS ERR_AUTO_KS AP_KS  ERR_AP_KS STEL_MASS
  1290  28.220068  -13.939845  0.8416 1  6    22.216 0.009      22.719 0.007    21.492 0.006      21.979 0.004    21.196 0.008      21.668 0.006    20.817 0.057      21.07  0.073    20.39   0.06        20.502 0.07      5.4E10   
  1316  28.165367  -13.941583  0.8456 1  8    23.707 0.017      23.834 0.013    22.829 0.009      22.937 0.007    22.471 0.012      22.588 0.009    22.114 0.101      21.949 0.107    21.579  0.102       21.362 0.103     1.5E10   
  1338  28.160511  -13.942474  0.8331 0  -4   23.089 0.018      23.514 0.011    21.855 0.007      22.283 0.004    21.237 0.007      21.608 0.004    20.735 0.056      20.889 0.067    20.074  0.053       20.207 0.062     8.5E10   
  1356  28.188817  -13.943542  0.829  0  -5   23.828 0.02       23.997 0.016    22.775 0.009      22.912 0.007    22.199 0.009      22.331 0.007    21.867 0.092      21.73  0.098    21.157  0.083       21.02  0.088     2.7E10   
  1367  28.150141  -13.942192  0.8352 0  -2   23.197 0.018      23.508 0.014    22.049 0.008      22.293 0.006    21.419 0.007      21.656 0.006    21.059 0.063      21.01  0.07     20.288  0.056       20.243 0.062     5.9E10   
  1383  28.195113  -13.947133  0.8334 1  -4   24.628 0.024      24.578 0.027    23.513 0.011      23.464 0.012    22.906 0.01       22.85  0.011    23.031 0.157      22.414 0.134    22.274  0.139       21.609 0.116     7.7E9    
  1386  28.190879  -13.945919  0.8388 0  -5   23.358 0.015      23.553 0.011    22.129 0.006      22.333 0.004    21.445 0.006      21.642 0.004    21.031 0.062      21.007 0.07     20.179  0.053       20.154 0.059     8.7E10   
  1442  28.17912   -13.959504  0.8318 0  -5   22.688 0.008      23.055 0.005    21.424 0.003      21.776 0.002    20.693 0.003      21.055 0.002    20.193 0.042      20.345 0.051    19.358  0.036       19.503 0.044     2.1E11   
  1454  28.179089  -13.957226  0.8452 0  -3   24.242 0.013      24.217 0.012    23.235 0.006      23.209 0.006    22.608 0.006      22.578 0.006    22.462 0.127      22.251 0.135    21.707  0.111       21.497 0.117     1.8E10   
  1465  28.180666  -13.957206  0.8365 0  -4   23.311 0.011      23.462 0.007    22.06  0.004      22.204 0.003    21.309 0.004      21.461 0.002    20.759 0.056      20.747 0.063    19.901  0.048       19.867 0.053     1.4E11   
  1466  28.182437  -13.955175  0.8395 0  -5   22.104 0.006      22.951 0.004    20.947 0.003      21.755 0.002    20.253 0.002      21.065 0.002    19.745 0.036      20.241 0.05     19.119  0.035       19.503 0.045     2.1E11   
  1467  28.182882  -13.955426  0.8412 0  -5   22.271 0.005      22.725 0.004    21.093 0.002      21.535 0.002    20.388 0.002      20.839 0.001    19.918 0.039      20.086 0.047    19.147  0.034       19.312 0.041     2.1E11   
  1483  28.197421  -13.955022  0.8415 0  -1   24.033 0.028      24.079 0.024    22.757 0.01       22.816 0.009    22.102 0.01       22.161 0.009    21.863 0.091      21.513 0.089    21.174  0.084       20.825 0.08      1.8E10   
  1496  28.143862  -13.978206  0.83   0  -1   23.593 0.022      23.734 0.018    22.395 0.009      22.528 0.007    21.789 0.009      21.905 0.007    21.242 0.069      21.037 0.072    20.28   0.056       20.101 0.058     7.9E10   
  1499  28.212358  -13.958334  0.8462 0  1    23.799 0.017      23.726 0.017    22.687 0.007      22.639 0.008    22.036 0.007      21.983 0.007    22.119 0.103      21.445 0.086    21.229  0.086       20.603 0.073     1.8E10   
  1500  28.213113  -13.957621  0.8477 0  1    22.303 0.012      22.663 0.007    21.142 0.005      21.534 0.003    20.494 0.005      20.872 0.003    20.074 0.04       20.274 0.05     19.353  0.036       19.521 0.044     1.5E11   
  1501  28.21666   -13.970745  0.8473 0  -1   22.475 0.013      22.852 0.008    21.27  0.005      21.68  0.003    20.603 0.005      21.011 0.003    20.112 0.041      20.312 0.051    19.244  0.034       19.444 0.043     1.9E11   
  1514  28.135171  -14.00835   0.8264 0  -5   nan   nan       nan   nan     nan   nan       nan   nan     nan   nan       nan   nan     nan   nan       nan   nan     nan    nan        nan   nan      nan    
  1530  28.21259   -14.005223  0.8367 1  3    nan   nan       nan   nan     nan   nan       nan   nan     nan   nan       nan   nan     nan   nan       nan   nan     nan    nan        nan   nan      nan    
